year,Round,Pick,player,position,nationality,picked by,team,strengths,weaknesses,college,listed height,listed weight,date of birth,place of birth,awards,ls_season,ls_team,ls_conf,ls_class,ls_pos,ls_g,ls_gs,ls_mp,ls_fg,ls_fga,ls_fg%,ls_3p,ls_3pa,ls_3p%,ls_2p,ls_2pa,ls_2p%,ls_efg%,ls_ft,ls_fta,ls_ft%,ls_orb,ls_drb,ls_trb,ls_ast,ls_stl,ls_blk,ls_tov,ls_pf,ls_pts,avg_g,avg_gs,avg_mp,avg_fg,avg_fga,avg_fg%,avg_3p,avg_3pa,avg_3p%,avg_2p,avg_2pa,avg_2p%,avg_efg%,avg_ft,avg_fta,avg_ft%,avg_orb,avg_drb,avg_trb,avg_ast,avg_stl,avg_blk,avg_tov,avg_pf,avg_pts,post draft awards,analysis,nba_per,nba_ts_pct,nba_ws_per_48,nba_bpm,nba_vorp,nba_composite_score
2009,1,1,Blake Griffin,PF,United States,Los Angeles Clippers,Oklahoma,Elite athleticism and work ethic • Dominant rebounder with strong body • Excellent ball handling and passing skills,Needs to improve shooting accuracy • Free throw shooting below par • Prone to injury due to physical play,Oklahoma (2007–2009),6 ft 9 in,250 lb,1989-03-16,"Oklahoma City, Oklahoma , U.S.","National college player of the year ( 2009 ), Consensus first-team All-American ( 2009 ), Pete Newell Big Man Award (2009), NCAA rebounding leader (2009), Big 12 Player of the Year (2009), No. 23 honored by Oklahoma Sooners, Third-team Parade All-American (2007), McDonald's All-American ( 2007 )",2008-09,Oklahoma,Big 12,SO,F,35.0,35.0,33.3,8.6,13.1,0.654,0.1,0.2,0.375,8.5,12.9,0.659,0.657,5.5,9.3,0.59,3.9,10.5,14.4,2.3,1.1,1.2,3.3,2.5,22.7,34.0,31.5,30.85,7.1,11.45,0.611,0.05,0.15,0.188,7.05,11.35,0.615,0.612,4.5,7.65,0.59,3.6,8.15,11.75,2.05,1.05,1.0,2.8,2.5,18.7,"6× NBA All-Star ( 2011 – 2015, 2019 ), 3× All-NBA Second Team ( 2012 – 2014 ), 2× All-NBA Third Team ( 2015, 2019 ), NBA Rookie of the Year ( 2011 ), NBA All-Rookie First Team ( 2011 ), NBA Slam Dunk Contest champion ( 2011 )",Clippers take the clear best prospect; an explosive power forward expected to contribute immediately.,22.65,0.55,0.17,3.15,3.5,19.06
2009,1,2,Hasheem Thabeet,C,Tanzania,Memphis Grizzlies,Connecticut,Dominant shot-blocker with record potential • Improved jumpshot with mid-range potential • Exceptional size and mobility,Post game lacks refinement • Struggles against stronger opponents • Offensively raw and turnover-prone,UConn (2006–2009),7 ft 3 in,260 lb,1987-02-16,"Dar es Salaam , Tanzania","2× NABC Defensive Player of the Year (2008, 2009), Consensus second-team All-American ( 2009 ), Big East co-Player of the Year (2009), 2× Big East Defensive Player of the Year (2008, 2009)",2008-09,Connecticut,Big East,JR,C,36.0,36.0,31.8,4.9,7.7,0.64,0.0,0.0,,4.9,7.7,0.64,0.64,3.7,5.9,0.627,3.7,7.1,10.8,0.5,0.6,4.2,1.9,2.5,13.6,33.333,33.0,29.133,3.533,5.767,0.599,0.0,0.0,,3.533,5.767,0.599,0.599,3.067,4.9,0.613,3.0,5.333,8.367,0.433,0.367,4.167,1.767,2.567,10.1,"P.League+ rebounding leader (2021), P.League+ blocks leader (2021), P.League+ Defensive Player of Year (2021), NBA D-League All-Defensive Third Team (2015)","Grizzlies prioritize rim protection with the draft’s elite shot‑blocker, hoping offense comes later.",3.63,0.38,0.0,-8.77,0.03,4.09
2009,1,3,James Harden,SG,United States,Oklahoma City Thunder,Arizona State,"Crafty with great offensive skills • Mature, NBA-ready body • Excellent vision and playmaking",Struggles against zone defenses • Lacks elite quickness and leaping ability • Turnover prone under pressure,Arizona State (2007–2009),6 ft 5 in,220 lb,1989-08-26,"Los Angeles, California, U.S.","NBA 75th Anniversary Team, Consensus first-team All-American ( 2009 ), Pac-10 Player of the Year ( 2009 ), 2× First-team All-Pac-10 (2008, 2009), No. 13 jersey retired by Arizona State Sun Devils, Second-team Parade All-American (2007), McDonald's All-American ( 2007 )",2008-09,Arizona State,Pac-10,SO,G,35.0,35.0,35.8,6.3,12.9,0.489,1.7,4.7,0.356,4.7,8.3,0.564,0.553,5.8,7.7,0.756,1.4,4.2,5.6,4.2,1.7,0.3,3.4,2.8,20.1,34.5,34.0,34.95,6.05,11.9,0.508,1.5,3.95,0.382,4.6,8.05,0.57,0.57,5.4,7.15,0.755,1.35,4.1,5.45,3.7,1.9,0.45,3.0,2.45,18.95,"NBA Most Valuable Player ( 2018 ), 11× NBA All-Star ( 2013 – 2022, 2025 ), 6× All-NBA First Team ( 2014, 2015, 2017 – 2020 ), All-NBA Third Team ( 2013 ), NBA Sixth Man of the Year ( 2012 ), 3× NBA scoring champion ( 2018 – 2020 ), 2× NBA assists leader ( 2017, 2023 ), NBA All-Rookie Second Team ( 2010 )",Thunder pair NBA‑ready scorer‑playmaker Harden with Westbrook for an instant back‑court upgrade.,17.17,0.6,0.17,2.23,2.13,19.69
2009,1,4,Tyreke Evans,SG,United States,Sacramento Kings,Memphis,Extremely smooth and talented guard • Excellent vision and passing skills • Aggressive and pressure-inducing playstyle,Inconsistent and unorthodox jumpshot • Questionable adaptability in structured play • Prone to turnovers and defensive lapses,Memphis (2008–2009),6 ft 6 in,220 lb,1989-09-19,"Chester, Pennsylvania , U.S.","USBWA National Freshman of the Year (2009), First-team All- Conference USA (2009), Conference USA Freshman of the Year (2009), Conference USA tournament MVP (2009), McDonald's All-American Game MVP ( 2008 ), First-team Parade All-American (2008), Fourth-team Parade All-American (2007)",2008-09,Memphis,CUSA,FR,G,37.0,35.0,29.0,6.2,13.6,0.455,0.9,3.4,0.274,5.3,10.3,0.514,0.489,3.7,5.2,0.711,1.3,4.1,5.4,3.9,2.1,0.8,3.6,2.4,17.1,37.0,35.0,29.0,6.2,13.6,0.455,0.9,3.4,0.274,5.3,10.3,0.514,0.489,3.7,5.2,0.711,1.3,4.1,5.4,3.9,2.1,0.8,3.6,2.4,17.1,"NBA Rookie of the Year ( 2010 ), NBA All-Rookie First Team ( 2010 )","Kings opt for a big, physical combo guard who can bully his way to the rim, passing on pure PG Rubio.",16.33,0.51,0.06,0.23,1.37,12.69
2009,1,5,Ricky Rubio,PG,Spain,Minnesota Timberwolves,DKV Joventut,Excellent court vision and passing • Good size and court survey ability • Effective in pick and roll situations,Lacks explosive athleticism • Inconsistent outside shooting • Relies heavily on pick and roll,,6 ft 2 in,190 lb,1990-10-21,"El Masnou , Spain","EuroLeague steals leader ( 2007 ), EuroCup champion ( 2008 ), FIBA EuroChallenge champion ( 2006 ), 3× Copa del Rey winner ( 2008, Liga ACB Defensive Player of the Year ( 2009 ), Liga ACB Rising Star ( 2007 ), 2× All-Liga ACB Team ( 2008, Mister Europa Player of the Year (2008), 3× FIBA Young Player of the Year (2007–2009), FIBA Europe Under-16 Championship MVP ( 2006 )",2008-09,Joventut,,,,5.0,,13.2,0.6,2.0,0.3,0.2,0.6,0.333,0.4,1.4,0.286,,1.0,1.6,0.625,0.6,1.8,2.4,2.8,1.8,0.0,2.4,1.4,2.4,19.429,,18.043,1.714,4.186,0.403,0.529,1.543,0.373,1.171,2.629,0.436,,1.971,2.657,0.715,0.771,1.771,2.557,3.343,2.143,0.057,2.043,2.286,5.914,"NBA All-Rookie First Team ( 2012 ), FIBA World Cup MVP ( 2019 ), EuroLeague champion ( 2010 ), EuroLeague Rising Star (2010), Liga ACB champion ( 2011 ), 2010, 2011 ), Liga ACB Most Spectacular Player ( 2010 ), 2010 ), Spanish Sportsman of the Year (2019)",Rebuilding Wolves grab the flashy Spanish playmaker as their future franchise face.,14.6,0.48,0.07,1.0,1.1,12.8
2009,1,6,Jonny Flynn,PG,United States,Minnesota Timberwolves,Syracuse,"Elite athleticism and quickness • Clutch performer, excels under pressure • Strong defensive skills on perimeter","Needs to develop a consistent jumpshot • Struggles with size disadvantage • Can overdribble, high turnover rate",Syracuse (2007–2009),6 ft 0 in,194 lb,1989-02-06,"Niagara Falls, New York , U.S.","Big East Rookie of the Year (2008), Big East tournament MVP ( 2009 ), Second-team Parade All-American (2007), McDonald's All-American ( 2007 ), Mr. New York Basketball (2007)",2008-09,Syracuse,Big East,SO,G,38.0,38.0,37.3,5.8,12.5,0.46,1.2,3.7,0.317,4.6,8.8,0.521,0.507,4.7,6.0,0.786,0.6,2.2,2.7,6.7,1.4,0.2,3.4,1.4,17.4,36.5,36.5,36.4,5.65,12.2,0.46,1.4,4.15,0.332,4.25,8.05,0.525,0.516,3.9,5.05,0.78,0.6,2.15,2.7,6.0,1.45,0.2,3.05,1.45,16.55,"NBA All-Rookie Second Team ( 2010 ), NBL All-Star ( 2012 ), All-NBL Second Team (2013)","Minnesota also drafts leader‑type Flynn, signaling a pending move since both selections are point guards.",10.8,0.47,-0.01,-4.47,-0.6,7.21
2009,1,7,Stephen Curry,PG,United States,Golden State Warriors,Davidson,Elite scorer with high efficiency • Excellent shot creation and decision-making • Strong under defensive pressure,Struggles with NBA-level athleticism • Not a natural point guard • Limited by physical size and strength,Davidson (2006–2009),6 ft 2 in,185 lb,1988-03-14,"Akron, Ohio , U.S.","NBA 75th Anniversary Team, Consensus first-team All-American ( 2009 ), Consensus second-team All-American ( 2008 ), NCAA scoring champion (2009), 2× SoCon Player of the Year (2008, 2009), 3× First-team All- SoCon (2007–2009), No. 30 retired by Davidson Wildcats",2008-09,Davidson,Southern,JR,G,34.0,34.0,33.7,9.2,20.2,0.454,3.8,9.9,0.387,5.4,10.3,0.519,0.549,6.5,7.4,0.876,0.6,3.8,4.4,5.6,2.5,0.2,3.7,2.4,28.6,34.667,34.333,32.567,8.367,17.933,0.467,3.967,9.667,0.411,4.4,8.3,0.532,0.578,4.633,5.3,0.875,0.767,3.767,4.533,3.767,2.1,0.267,3.033,2.467,25.333,"4× NBA champion ( 2015, 2017, 2018, 2022 ), NBA Finals MVP ( 2022 ), 2× NBA Most Valuable Player ( 2015, 2016 ), 11× NBA All-Star ( 2014 – 2019, 2021 – 2025 ), 2× NBA All-Star Game MVP ( 2022, 2025 ), 4× All-NBA First Team ( 2015, 2016, 2019, 2021 ), 4× All-NBA Second Team ( 2014, 2017, 2022, 2023 ), 2× All-NBA Third Team ( 2018, 2024 ), NBA All-Rookie First Team ( 2010 ), NBA Sportsmanship Award ( 2011 ), 2× NBA Three-Point Contest champion ( 2015, 2021 ), 2× NBA scoring champion ( 2016, 2021 ), NBA steals leader ( 2016 ), 50–40–90 club ( 2016 ), AP Athlete of the Year (2015), 2× Sports Illustrated Sportsperson of the Year (2018, [ a ] 2022), USA Basketball Male Athlete of the Year (2024)","Warriors secure lethal shooter Curry to run Don Nelson’s up‑tempo, guard‑heavy system alongside Ellis.",18.97,0.59,0.12,2.43,1.97,17.57
2009,1,8,Jordan Hill,PF,United States,New York Knicks,Arizona,Improved strength and post moves • Effective midrange shooter • Strong rebounder and defender,Struggles with turnovers • Inconsistent focus and effort • Poor free throw shooter,Arizona (2006–2009),6 ft 10 in,240 lb,1987-07-27,"Newberry, South Carolina , U.S.","Third-team All-American – SN ( 2009 ), First-team All-Pac-10 ( 2009 )",2008-09,Arizona,Pac-10,JR,F,34.0,34.0,35.7,7.4,13.8,0.537,0.0,0.0,,7.4,13.8,0.537,0.537,3.4,5.3,0.654,4.2,6.8,11.0,1.5,0.9,1.7,2.9,3.0,18.3,32.333,26.333,26.4,4.933,8.533,0.603,0.0,0.0,,4.933,8.533,0.603,0.603,2.167,3.467,0.595,2.767,4.933,7.667,0.8,0.533,1.4,1.9,2.633,12.067,,Knicks add athletic big Hill as insurance for David Lee and a Stoudemire‑lite fit for D’Antoni’s offense.,16.03,0.53,0.11,-3.13,-0.27,13.75
2009,1,9,DeMar DeRozan,SG,United States,Toronto Raptors,USC,Elite athletic and explosive abilities • Mastered mid-range game • Strong offensive rebounder,Inconsistent intensity and dominance • Limited three-point and free throw shooting • Predictable ball handling and moves,USC (2008–2009),6 ft 6 in,220 lb,1989-08-07,"Compton, California , U.S.","Pac-10 tournament MVP ( 2009 ), Pac-10 All-Freshman Team ( 2009 ), No. 10 retired by USC Trojans, First-team Parade All-American (2008), McDonald's All-American ( 2008 )",2008-09,Southern California,Pac-10,FR,F,35.0,35.0,33.4,5.5,10.5,0.523,0.2,1.0,0.167,5.3,9.5,0.562,0.531,2.7,4.2,0.646,2.4,3.3,5.7,1.5,0.9,0.4,2.1,2.1,13.9,35.0,35.0,33.4,5.5,10.5,0.523,0.2,1.0,0.167,5.3,9.5,0.562,0.531,2.7,4.2,0.646,2.4,3.3,5.7,1.5,0.9,0.4,2.1,2.1,13.9,"6× NBA All-Star ( 2014, 2016 – 2018, 2022, 2023 ), 2× All-NBA Second Team ( 2018, 2022 ), All-NBA Third Team ( 2017 )","Raptors invest in a long, high‑upside wing to develop into a primary scorer for a post‑Bosh era.",13.27,0.53,0.06,-2.67,-0.33,11.93
2009,1,10,Brandon Jennings,PG,United States,Milwaukee Bucks,Lottomatica Roma,Explosive speed and agility • Excellent in transition play • Strong defensive skills,Inconsistent jumpshot • High turnover rate • Struggles against physical defenders,,6 ft 1 in,170 lb,1989-09-23,"Compton, California , U.S.","Mr. Basketball USA (2008), Naismith Prep Player of the Year (2008), MaxPreps National Player of the Year (2008), McDonald's All-American ( 2008 ), First-team Parade All-American (2008), Third-team Parade All-American (2007)",2008-09,Lottomatica Roma,Serie A,International,F,27.0,,17.0,1.2,2.65,0.353,0.3,0.75,0.206,0.9,1.9,0.427,0.474,0.55,0.65,0.474,0.85,1.65,1.6,1.6,1.5,0.1,0.6,1.4,5.5,27.0,,17.0,1.2,2.65,0.353,0.3,0.75,0.206,0.9,1.9,0.427,0.474,0.55,0.65,0.474,0.85,1.65,1.6,1.6,1.5,0.1,0.6,1.4,5.5,NBA All-Rookie First Team (2010),"Bucks gamble on lightning‑quick PG Jennings, banking on upside if his jumper rounds out.",16.17,0.49,0.09,1.67,2.2,14.07
