Prospect,Field,Gold,Predicted
M.J. Walker,Date of birth,"March 28, 1998",
Blake Griffin,Date of birth,"March 16, 1989",
Kaleb Wesson,Date of birth,"July 27, 1999",
Anthony Barber,Date of birth,"July 25, 1994",
Aaron Gordon,Date of birth,"September 16, 1995",
Branden Dawson,Date of birth,"February 1, 1993",
Karl-Anthony Towns,Date of birth,"November 15, 1995",
DeAndre Liggins,Date of birth,"March 31, 1988",
Bryson Williams,Date of birth,"April 25, 1998",
DeMarcus Cousins,Date of birth,"August 13, 1990",
James Anderson,Date of birth,"March 25, 1989",
Jordan Bachynski,Date of birth,"September 6, 1989",
Solomon Hill,Date of birth,"March 18, 1991",
Austin Reaves,Date of birth,"May 29, 1998",
TyTy Washington Jr.,Date of birth,"November 15, 2001",
Jodie Meeks,Date of birth,"August 21, 1987",
Keita Bates-Diop,Date of birth,"January 23, 1996",
Marvin Bagley,Date of birth,"March 14, 1999",
Keshad Johnson,Date of birth,"June 23, 2001",
Kevin Palmer,Date of birth,"June 21, 1987",
Willie Warren,Date of birth,"October 22, 1989",
Robert Covington,Date of birth,"December 14, 1990",
Alex Caruso,Date of birth,"February 28, 1994",
Khris Middleton,Date of birth,"August 12, 1991",
Isaiah Cousins,Date of birth,"March 13, 1994",
Robert Dillingham,Date of birth,"January 4, 2005",
Dexter Pittman,Date of birth,"March 2, 1988",
Dillon Jones,Date of birth,"October 29, 2001",
Taj Gibson,Date of birth,"June 24, 1985",
D.J. Hogg,Date of birth,"September 3, 1996",
Malaki Branham,Date of birth,"May 12, 2003",
Jawun Evans,Date of birth,"July 26, 1996",
Chris Livingston,Date of birth,"October 15, 2003",
Jared Sullinger,Date of birth,"March 4, 1992",
Bronny James,Date of birth,"October 6, 2004",
Stanley Robinson,Date of birth,"July 14, 1988",
Jaylen Barford,Date of birth,"January 23, 1996",
Josh Green,Date of birth,16 November 2000,
Kyle Fogg,Date of birth,"January 27, 1990",
Tiny Gallon,Date of birth,"January 18, 1991",
Duane Washington Jr.,Date of birth,"March 24, 2000",
Tristan Thompson,Date of birth,"March 13, 1991",
Cameron Payne,Date of birth,"August 8, 1994",
Daniel Orton,Date of birth,"August 6, 1990",
Julius Randle,Date of birth,"November 29, 1994",
Damion James,Date of birth,"October 7, 1987",
Klay Thompson,Date of birth,"February 8, 1990",
Jonathan Isaac,Date of birth,"October 3, 1997",
Marcus Bagley,Date of birth,"October 23, 2001",
Landry Shamet,Date of birth,"March 13, 1997",
Robert Williams,Date of birth,"October 17, 1997",
Eric Bledsoe,Date of birth,"December 9, 1989",
TJ Leaf,Date of birth,"April 30, 1997",
Patrick Williams,Date of birth,"August 26, 2001",
Tyson Etienne,Date of birth,"September 17, 1999",
Drew Peterson,Date of birth,"November 9, 1999",
Jrue Holiday,Date of birth,"June 12, 1990",
Tevin Brown,Date of birth,"September 23, 1998",
Zeke Nnaji,Date of birth,"January 9, 200",
Jaylen Wells,Date of birth,"August 26, 2003",
Onyeka Okongwu,Date of birth,"December 11, 2000",
Chet Holmgren,Date of birth,"May 1, 2002",
Chinemelu Elonu,Date of birth,"March 11, 1987",
Tyger Campbell,Date of birth,"January 9, 2000",
Grayson Allen,Date of birth,"October 8, 1995",
Terrel Harris,Date of birth,"August 10, 1987",
Michael Qualls,Date of birth,"January 20, 1994",
Christian Koloko,Date of birth,"June 20, 2000",
Rawle Alkins,Date of birth,"October 29, 1997",
Deyonta Davis,Date of birth,"December 2, 1996",
Art Parakhouski,Date of birth,"October 6, 1987",
Paul Reed,Date of birth,"June 14, 1999",
Marius Grigonis,Date of birth,26 April 1994,
Malcolm Cazalon,Date of birth,27 August 2001,
Michael Frazier II,Date of birth,"March 8, 1994",
Baylor Scheierman,Date of birth,"September 26, 2000",
Cedric Jackson,Date of birth,"March 5, 1986",
Chris Singleton,Date of birth,"November 21, 1989",
Jacob Evans,Date of birth,"June 18, 1997",
Jimmer Fredette,Date of birth,"February 25, 1989",
Joel Berry,Date of birth,"April 1, 1995",
DaRon Holmes,Date of birth,"August 15, 2002",
Satnam Singh Bhamara,Date of birth,"December 10, 1995",
Ulrich Chomche,Date of birth,"December 30, 2005",
Patrick Mills,Date of birth,"August 11, 1988",
Geron Johnson,Date of birth,"August 9, 1992",
Boban Marjanovic,Date of birth,"August 15, 1988",
Robert Upshaw,Date of birth,"January 5, 1994",
Tomas Satoransky,Date of birth,"October 30, 1991",
Damien Inglis,Date of birth,"May 20, 1995",
Scoot Henderson,Date of birth,"February 3, 2004",
Sidy Cissoko,Date of birth,"April 2, 2004",
Mojave King,Date of birth,"June 11, 2002",
Matas Buzelis,Date of birth,"October 13, 2004",
Dyson Daniels,Date of birth,"March 17, 2003",
Michael Foster Jr.,Date of birth,"January 16, 2003",
Jonathan Kuminga,Date of birth,"October 6, 2002",
Jalen Green,Date of birth,"February 9, 2002",
Tyler Smith,Date of birth,"November 2, 2004",
Daishen Nix,Date of birth,"February 13, 2002",
M.J. Walker,Place of birth,"Atlanta, Georgia, U.S.",
