Prospect,Field,Gold,Predicted
Zeke Nnaji,Date of birth,"January 9, 200","January 9, 2001"
James Anderson,Place of birth,"El Dorado, Arkansas","El Dorado, Arkansas , U.S."
Kevin Palmer,Place of birth,"Baltimore, Maryland, U.S.","Baltimore, Maryland"
Sidy Cissoko,Place of birth,"Saint-Maurice, France","Saint-Maurice , France [ 1 ]"
M.J. Walker,Listed height,6 ft 5 in,
Blake Griffin,Listed height,6 ft 9 in,
Kaleb Wesson,Listed height,6 ft 10 in,
Anthony Barber,Listed height,6 ft 1 in,
Aaron Gordon,Listed height,6 ft 8 in,
Branden Dawson,Listed height,6 ft 6 in,
Karl-Anthony Towns,Listed height,7 ft 0 in,
DeAndre Liggins,Listed height,6 ft 6 in,
Bryson Williams,Listed height,6 ft 8 in,
DeMarcus Cousins,Listed height,6 ft 10 in,
James Anderson,Listed height,6 ft 6 in,
Jordan Bachynski,Listed height,7 ft 2 in,
Solomon Hill,Listed height,6 ft 6 in,
Austin Reaves,Listed height,6 ft 5 in,
TyTy Washington Jr.,Listed height,6 ft 3 in,
Jodie Meeks,Listed height,6 ft 4 in,
Keita Bates-Diop,Listed height,6 ft 8 in,
Marvin Bagley,Listed height,6 ft 10 in,
Keshad Johnson,Listed height,6 ft 6 in,
Kevin Palmer,Listed height,6 ft 6 in,
Willie Warren,Listed height,6 ft 4 in,
Robert Covington,Listed height,6 ft 7 in,
Alex Caruso,Listed height,6 ft 5 in,
Khris Middleton,Listed height,6 ft 7 in,
Isaiah Cousins,Listed height,6 ft 4 in,
Robert Dillingham,Listed height,6 ft 3 in,
Dexter Pittman,Listed height,6 ft 11 in,
Dillon Jones,Listed height,6 ft 5 in,
Taj Gibson,Listed height,6 ft 9 in,
D.J. Hogg,Listed height,6 ft 9 in,
Malaki Branham,Listed height,6 ft 4 in,
Jawun Evans,Listed height,6 ft 0 in,
Chris Livingston,Listed height,6 ft 6 in,
Jared Sullinger,Listed height,6 ft 9 in,
