Prospect,Team_or_College,category,Full name,Date of birth,Place of birth,Listed height,Listed weight,College(s) or Teams,Position,Nationality,Career highlights and awards
M.J. Walker,Florida State,ncaa,"James Michael ""M. J."" Walker Jr.","March 28, 1998","Atlanta, Georgia, U.S.",6 ft 5 in,213 lb,Florida State (2017–2021),Small forward / shooting guard,American,"NZNBL champion (2024), Second-team All-ACC (2021), McDonald’s All -American (2017), Nike Hoop Summit (2017)"
Blake Griffin,Oklahoma,ncaa,Blake Austin Griffin,"March 16, 1989","Oklahoma City, Oklahoma, U.S.",6 ft 9 in,250 lb,Oklahoma (2007–2009),Power forward,American,"NBA All-Star (2011, 2012, 2013, 2014, 2015, 2019), All-NBA Second Team (2012, 2013, 2014), All-NBA Third Team (2015, 2019), NBA Rookie of the Year (2011), NBA All-Rookie First Team (2011), NBA Slam Dunk Contest champion (2011), National college player of the year (2009), Consensus first-team All-American (2009), NCAA rebounding leader (2009), Big 12 Player of the Year (2009), No. 23 honored by Oklahoma Sooners, Third-team Parade All-American (2007), McDonald's All-American (2007)"
Kaleb Wesson,Ohio State,ncaa,Kaleb Avery Wesson,"July 27, 1999","Westerville, Ohio, U.S.",6 ft 10 in,250 lb,Ohio State (2017–2020),Power forward / center,American ,"Second-team All-Big Ten (2020), Ohio Mr. Basketball (2017)"
Anthony Barber,NC State,ncaa,"Anthony Ynique ""Cat"" Barber","July 25, 1994","Hampton, Virginia, U.S.",6 ft 1 in,174 lb,NC State (2013–2016),Point guard,American,"All-NBA G League Second Team (2022), CEBL champion (2023), 2× All-CEBL First Team (2023, 2024), 2× All-CEBL Second Team (2021, 2022), Portuguese Cup winner (2024), Portuguese Cup MVP (2024), AP Honorable Mention All-American (2016), First-team All-ACC (2016), McDonald's All-American (2013)"
Aaron Gordon,Arizona,ncaa,Aaron Addison Gordon,"September 16, 1995","San Jose, California, U.S.",6 ft 8 in,235 lb,Arizona (2013–2014),Power forward,American,"NBA champion (2023), Third-team All-America – SN (2014), First-team All-Pac-12 (2014), Pac-12 Freshman of the Year (2014), McDonald's All-American Game MVP (2013), First-team Parade All-American (2013), 2× California Mr. Basketball (2012, 2013), USA Basketball Male Athlete of the Year (2013), FIBA Under-19 World Cup MVP (2013)"
Branden Dawson,Michigan State,ncaa,Branden James Dawson,"February 1, 1993","Gary, Indiana, U.S.",6 ft 6 in,230 lb,Michigan State (2011–2015),Forward,American,"T1 League All-Star (2023), Dominican LNB Best Defender (2019), Second-team All-Big Ten (2015), Big Ten All-Defensive Team (2015), Big Ten All-Freshman Team (2012), Big Ten tournament MOP (2014), McDonald's All-American (2011), Third-team Parade All-American (2011)"
Karl-Anthony Towns,Kentucky,ncaa,Karl-Anthony Towns Jr.,"November 15, 1995","Edison, New Jersey, U.S.",7 ft 0 in,248 lb,Kentucky (2014–2015),Center,American / Dominican,"5× NBA All-Star (2018, 2019, 2022, 2024, 2025), 2× All-NBA Third Team (2018, 2022), NBA Rookie of the Year (2016), NBA All-Rookie First Team (2016), NBA Three-Point Contest champion (2022), Consensus second-team All-American (2015), SEC Freshman of the Year (2015), First-team All-SEC (2015), Gatorade National Player of the Year (2014), McDonald's All-American (2014), First-team Parade All-American (2014)"
DeAndre Liggins,Kentucky,ncaa,DeAndre Desmond Liggins ,"March 31, 1988","Chicago, Illinois, U.S.",6 ft 6 in,209 lb,Kentucky (2008–2011),Shooting guard / small forward,American,"British Basketball League Team of the Year (2021), British Basketball League Defensive Team of the Year (2021), British Basketball League Trophy Finals MVP (2021), NBA D-League champion (2016), BBL Trophy champion (2021), 2× NBA D-League Defensive Player of the Year (2014, 2016), 2× All-NBA D-League Second Team (2014, 2016), 2× NBA D-League All-Defensive First Team (2014, 2016), 2× NBA D-League All-Star (2014, 2016)"
Bryson Williams,Texas Tech,ncaa,Bryson Najee Williams,"April 25, 1998","Fresno, California, U.S.",6 ft 8 in,240 lb,"Fresno State (2016–2018), UTEP (2019–2021), Texas Tech (2021–2022)",Power forward,American,"First-team All-Big 12 (2022), First-team All-Conference USA (2020), Third-team All-Conference USA (2021), Third-team All-Mountain West (2018)"
DeMarcus Cousins,Kentucky,ncaa,DeMarcus Amir Cousins,"August 13, 1990","Mobile, Alabama, U.S.",6 ft 10 in,270 lb,Kentucky (2009–2010),Center,American,"4× NBA All-Star (2015–2018), 2× All-NBA Second Team (2015, 2016), NBA All-Rookie First Team (2011), T1 League champion (2024), T1 League Finals MVP (2024), T1 League Most Popular Player of the Year (2024), Consensus second-team All-American (2010), First-team All-SEC (2010), SEC Rookie of the Year (2010), SEC All-Rookie Team (2010), McDonald's All-American (2009), First-team Parade All-American (2009)"
James Anderson,Oklahoma State,ncaa,James Lee Anderson,"March 25, 1989","El Dorado, Arkansas",6 ft 6 in,215 lb,Oklahoma State (2007–2010),Small forward / shooting guard,American,"2× EuroLeague champion (2021, 2022), 2× Turkish League champion (2019, 2021), Lithuanian LKL champion (2015), LKL All-Star (2015), LKF Cup winner (2015), Consensus second-team All-American (2010), Big 12 Player of the Year (2010), First-team All-Big 12 (2010), 2× Second-team All-Big 12 (2008, 2009), Third-team Parade All-American (2007), McDonald's All-American (2007), 2× Arkansas Mr. Basketball (2006, 2007)"
Jordan Bachynski,Arizona St.,ncaa,Jordan Bachynski,"September 6, 1989","Calgary, Alberta, Canada",7 ft 2 in,254 lb,Arizona State (2010–2014,Center,Canadian,"All-NBA D-League Third Team (2016), NBA D-League All-Defensive Team (2016), NBA D-League All-Star (2016), Second-team All-Pac-12 (2014), Pac-12 Defensive Player of the Year (2014), Pac-12 All-Defensive Team (2014), NCAA blocks leader (2014)"
Solomon Hill,Arizona,ncaa,Solomon Jamar Hill,"March 18, 1991","Harvey, Illinois, U.S.",6 ft 6 in,226 lb,Arizona (2009–2013),Small forward / power forward,American,"2× First-team All-Pac-12 (2012, 2013)"
Austin Reaves,Oklahoma,ncaa,Austin Tyler Reaves,"May 29, 1998","Newark, Arkansas, U.S.",6 ft 5 in,197 lb,"Wichita State (2016–2018), Oklahoma (2019–2021)",Shooting guard / point guard,American,"NBA Cup champion (2023), First-team All-Big 12 (2021), Big 12 All-Newcomer Team (2020)"
TyTy Washington Jr.,Kentucky,ncaa,"Tyrone Lewis ""TyTy"" Washington Jr.","November 15, 2001","Phoenix, Arizona, U.S.",6 ft 3 in,195 lb,Kentucky (2021–2022),Point guard,American,"Second-team All-SEC (2022), SEC All-Freshman team (2022), Jordan Brand Classic (2021)"
Jodie Meeks,Kentucky,ncaa,Orestes Jodie Meeks II,"August 21, 1987","Nashville, Tennessee, U.S.",6 ft 4 in,210 lb,Kentucky (2006–2009),Shooting guard,American,"NBA champion (2019), Consensus second-team All-American (2009), First-team All-SEC (2009)"
Keita Bates-Diop,Ohio State,ncaa,Keita Bates-Diop,"January 23, 1996","Sacramento, California, U.S.",6 ft 8 in,229 lb,Ohio State (2014–2018),Small forward / power forward,American,"Consensus second-team All-American (2018), Big Ten Player of the Year (2018), First-team All-Big Ten (2018)"
Marvin Bagley,Duke,ncaa,Marvin Bagley III,"March 14, 1999","Tempe, Arizona, U.S.",6 ft 10 in,235 lb,Duke (2017–2018),Power forward / center,American,"NBA All-Rookie First Team (2019), Consensus first-team All-American (2018), Pete Newell Big Man Award (2018), NABC Freshman of the Year (2018), ACC Player of the Year (2018), First-team All-ACC (2018), ACC Rookie of the Year (2018)"
Keshad Johnson,Arizona,ncaa,Keshad Ray Johnson,"June 23, 2001","Oakland, California, U.S.",6 ft 6 in,230 lb,"San Diego State (2019–2023), Arizona (2023–2024)",Small forward,American,
Kevin Palmer,Texas A&M Corpus Christi,ncaa,Kevin Palmer,"June 21, 1987","Baltimore, Maryland, U.S.",6 ft 6 in,210 lb,"Cecil College (2006–2008), Texas A&M-Corpus Christi (2008–2010)",Small forward,American,"Israeli League champion (2016), Greek League rebounding leader (2013), Greek League steals leader (2013), bj league Best Five (2011-2012), bj league All-Star (2012), First-team All-Southland (2009, 2010), Southland Newcomer of the Year (2009)"
Willie Warren,Oklahoma,ncaa,Willie D. Warren,"October 22, 1989","Dallas, Texas, U.S.",6 ft 4 in,200 lb,Oklahoma (2008–2010),Point guard / shooting guard,American,"CBA All-Star (2016), Second-team All-Big 12 (2009), Big 12 Freshman of the Year (2009), Big 12 All-Rookie team (2009), McDonald's All-American (2008), Third-team Parade All-American (2008), Texas Mr. Basketball (2008)"
Robert Covington,Tennessee State,ncaa,Robert Covington,"December 14, 1990","Bellwood, Illinois, U.S.",6 ft 7 in,209 lb,Tennessee State (2009–2013),Small forward / power forward,American,"NBA All-Defensive First Team (2018), NBA D-League All-Star (2014), NBA D-League All-Star Game MVP (2014), All-NBA D-League First Team (2014), NBA D-League Rookie of the Year (2014), First-team All-OVC (2012), Second-team All-OVC (2011, 2013), OVC All-Newcomer Team (2010)"
