idx,gold,pred_1,pred_2,pred_3,top1_correct,top3_correct
1,victor wembanyama,victor wembanyama,oscar tshiebwe,liam robbins,1,1
2,brandon miller,ausar thompson,leonard miller,jalen wilson,0,0
3,scoot henderson,scoot henderson,amen thompson,terquavion smith,1,1
4,amen thompson,isaiah wong,amen thompson,terquavion smith,0,1
5,ausar thompson,leonard miller,jalen wilson,ausar thompson,0,1
6,anthony black,jalen hood-schifino,brandin podziemski,anthony black,0,1
7,bilal coulibaly,jalen wilson,leonard miller,hunter tyson,0,0
8,jarace walker,kris murray,trayce jackson-davis,mouhamed gueye,0,0
9,taylor hendricks,trayce jackson-davis,kris murray,mouhamed gueye,0,0
10,cason wallace,cason wallace,isaiah wong,yuri collins,1,1
11,jett howard,jalen wilson,leonard miller,hunter tyson,0,0
12,dereck lively ii,drew timme,dereck lively ii,liam robbins,0,1
13,gradey dick,trayce jackson-davis,kobe brown,brandin podziemski,0,0
14,jordan hawkins,elijah harkless,ben sheppard,jordan hawkins,0,1
15,kobe bufkin,elijah harkless,ben sheppard,brandin podziemski,0,0
16,keyonte george,keyonte george,brandin podziemski,ben sheppard,1,1
17,jalen hood-schifino,nick smith jr.,jalen hood-schifino,brandin podziemski,0,1
18,jaime jaquez jr.,emoni bates,jaime jaquez jr.,trayce jackson-davis,0,1
19,brandin podziemski,ben sheppard,elijah harkless,brandin podziemski,0,1
20,cam whitmore,leonard miller,cam whitmore,jalen wilson,0,1
21,noah clowney,kris murray,trayce jackson-davis,mouhamed gueye,0,0
22,dariq whitehead,leonard miller,jalen wilson,hunter tyson,0,0
23,kris murray,trayce jackson-davis,kris murray,drew peterson,0,1
24,olivier-maxence prosper,trayce jackson-davis,toumani camara,miles norris,0,0
25,marcus sasser,marcus sasser,jalen wilson,trayce jackson-davis,1,1
26,ben sheppard,ben sheppard,elijah harkless,d'moi hodge,1,1
27,nick smith jr.,nick smith jr.,trayce jackson-davis,leonard miller,1,1
28,brice sensabaugh,leonard miller,jalen wilson,hunter tyson,0,0
29,julian strawther,leonard miller,julian strawther,jalen wilson,0,1
30,kobe brown,jalen wilson,kobe brown,sidy cissoko,0,1
31,james nnaji,drew timme,oscar tshiebwe,colin castleton,0,0
32,jalen pickett,elijah harkless,adam flagler,d'moi hodge,0,0
33,leonard miller,jalen wilson,leonard miller,jalen slawson,0,1
