idx,gold,pred_1,pred_2,pred_3,top1_correct,top3_correct
1,blake griffin,blake griffin,jonas jerebko,dante cunningham,1,1
2,hasheem thabeet,hasheem thabeet,marcus cousin,byron mullens,1,1
3,james harden,james harden,tyreke evans,marcus thornton,1,1
4,tyreke evans,tyreke evans,marcus thornton,jodie meeks,1,1
5,brandon jennings,ricky rubio,stephen curry,ty lawson,0,0
6,ty lawson,stephen curry,ricky rubio,jrue holiday,0,0
7,stephen curry,stephen curry,jeff teague,darren collison,1,1
8,dejuan blair,dejuan blair,taj gibson,dante cunningham,1,1
9,marcus thornton,terrence williams,jodie meeks,marcus thornton,0,1
10,jrue holiday,ricky rubio,jrue holiday,jeff teague,0,1
11,jodie meeks,terrence williams,jodie meeks,jermaine taylor,0,1
12,antonio anderson,demar derozan,terrence williams,jermaine taylor,0,0
13,taj gibson,tyler hansbrough,taj gibson,dante cunningham,0,1
14,chase budinger,sam young,chase budinger,danny green,0,1
15,danny green,danny green,sam young,derrick brown,1,1
16,omri casspi,derrick brown,sam young,austin daye,0,0
17,ricky rubio,ricky rubio,darren collison,jeff teague,1,1
18,darren collison,darren collison,jeff teague,patty mills,1,1
19,jeff teague,jeff teague,eric maynor,patty mills,1,1
20,rodrigue beaubois,eric maynor,patty mills,toney douglas,0,0
21,toney douglas,eric maynor,lester hudson,patty mills,0,0
22,derrick brown,sam young,demarre carroll,derrick brown,0,1
23,sam young,demarre carroll,sam young,austin daye,0,1
24,marcus cousin,marcus cousin,byron mullens,viacheslav kravtsov,1,1
25,patty mills,eric maynor,cedric jackson,lester hudson,0,0
26,jonas jerebko,tyler hansbrough,jeff pendergraph,jonas jerebko,0,1
27,austin daye,earl clark,demarre carroll,austin daye,0,1
28,garrett temple,demar derozan,terrence williams,wayne ellington,0,0
29,eric maynor,jonny flynn,eric maynor,lester hudson,0,1
30,taylor griffin,earl clark,demarre carroll,james johnson,0,0
31,dante cunningham,tyler hansbrough,jeff pendergraph,dante cunningham,0,1
32,terrence williams,demar derozan,terrence williams,gerald henderson,0,1
33,marcus landry,jordan hill,tyler hansbrough,jeff adrien,0,0
34,lester hudson,lester hudson,jeremy pargo,cedric jackson,1,1
35,tyler hansbrough,jordan hill,tyler hansbrough,jeff pendergraph,0,1
36,demarre carroll,demarre carroll,james johnson,earl clark,1,1
37,jeff pendergraph,jordan hill,jeff pendergraph,dajuan summers,0,1
38,jeff adrien,jordan hill,jon brockman,jeff adrien,0,1
39,jordan hill,jordan hill,ahmad nivins,jon brockman,1,1
40,christian eyenga,earl clark,james johnson,robert dozier,0,0
41,jermaine taylor,demar derozan,gerald henderson,wayne ellington,0,0
42,cedric jackson,jonny flynn,jeremy pargo,cedric jackson,0,1
43,demar derozan,demar derozan,wayne ellington,gerald henderson,1,1
44,earl clark,earl clark,james johnson,robert dozier,1,1
45,justin dentmon,patrick beverley,sergio llull,jonny flynn,0,0
46,wesley matthews,james johnson,robert dozier,wesley matthews,0,1
47,jon brockman,ahmad nivins,jon brockman,dajuan summers,0,1
48,alonzo gee,robert dozier,james johnson,alonzo gee,0,1
49,wayne ellington,wayne ellington,gerald henderson,jack mcclinton,1,1
50,garret siler,goran suton,byron mullens,viacheslav kravtsov,0,0
51,dionte christmas,gerald henderson,robert vaden,dionte christmas,0,1
52,jonny flynn,none,none,none,0,0
53,jeremy pargo,nick calathes,patrick beverley,sergio llull,0,0
54,dajuan summers,gerald henderson,robert vaden,sergiy gladyr,0,0
55,nick calathes,nick calathes,patrick beverley,nando de colo,1,1
56,terrel harris,ahmad nivins,chinemelu elonu,emir preld,0,0
57,byron mullens,ahmad nivins,chinemelu elonu,emir preld,0,0
58,josh akognon,patrick beverley,nando de colo,sergio llull,0,0
59,ahmad nivins,ahmad nivins,chinemelu elonu,emir preld,1,1
60,gerald henderson,james johnson,robert dozier,luigi datome,0,0
