Team,Needs,Context,Year
Atlanta Hawks,"C, SF","Most mock drafts have either tabbed Alex Sarr or Zaccharie Risacher in this spot, giving Atlanta a defensive-minded big or two-way wing to place alongside Trae Young, Dejounte Murray or both depending on how the rest of the offseason goes.",2024
Boston Celtics,"SG, SF","Assuming Payton Pritchard and Al Horford are brought back, Boston should be eyeing older wings in the draft who can step in and play immediately. This could include players such as Dayton’s DaRon Holmes II, UNC’s Harrison Ingram or Creighton’s Baylor Scheierman.",2024
Brooklyn Nets,"PG, SG","The only NBA team without a first- or second-round pick, the Nets should explore ways to get back into the 2024 draft. Brooklyn could get back into the middle or late first round by putting Dorian Finney-Smith on the table. Making Mikal Bridges available would likely draw a lot of interest from Houston, Charlotte and Memphis.",2024
Charlotte Hornets,"SF, PG","If the Hornets stay put at No. 6, they should be looking at wings who can defend and take over playmaking duties if LaMelo Ball suffers further ankle injuries. Charlotte finished 29th in team defense last season and could use a point-of-attack defender in the backcourt like UConn’s Stephon Castle.",2024
Chicago Bulls,"PF, SF","With Coby White and Nikola Vučević locked in at point guard and center, Chicago should target a forward in case DeMar DeRozan departs. The Bulls also need shooting after ranking 27th in made threes per game; Colorado’s Cody Williams would be an ideal fit.",2024
Cleveland Cavaliers,"SF, C","Despite retaining Donovan Mitchell, Darius Garland, Evan Mobley and Jarrett Allen, Cleveland could use help on the wing or another big who can shoot and share the floor with Mobley or Allen — a stretch big or two-way wing fits this need.",2024
Dallas Mavericks,"SF, C","Dallas should look to add a two-way wing and a backup big to support Luka Dončić and Kyrie Irving, as their bench struggled in shooting and rim protection late in the season.",2024
Denver Nuggets,"C, PF",It’s become clear that Zeke Nnaji isn’t the answer as a backup to Nikola Jokić. Finding someone who can play 15 minutes a night and not have the team fall apart remains the goal — targets like Kyle Filipowski or DaRon Holmes II would be ideal.,2024
Detroit Pistons,"SG, SF",Detroit was tied for dead-last in the NBA in made threes per game and ranked 26th in accuracy. Whoever they choose needs to be able to shoot — Reed Sheppard made 52.1% of his threes as a freshman and fulfills that need.,2024
Golden State Warriors,"PG, SG","With Chris Paul likely waived and Stephen Curry needing rest, Golden State will need another ball-handler off the bench. Seniors like UConn’s Tristen Newton or younger guards like Bronny James could be considered.",2024
Houston Rockets,"SF, PF",Rival teams say the No. 3 pick is for sale — Houston has enough young projects and should look to package this pick (and some young talent) for a proven wing or forward like Mikal Bridges or Donovan Mitchell if available.,2024
Indiana Pacers,"SF, PF","After an Eastern Conference Finals run, adding three rookies isn’t ideal. Indiana should explore packaging multiple second-rounders to try to get back into the late first round for a rotation-ready forward.",2024
Los Angeles Clippers,"PG, SG","With Russell Westbrook and James Harden aging, the Clippers should draft a floor general with upside in the mid-second round to learn under two future Hall of Famers.",2024
Los Angeles Lakers,"PF, SG","Assuming LeBron James returns, L.A. can’t be in prospect mode. Trading the No. 17 pick for win-now help is smart; if they keep pick No. 55, taking Bronny James as a late-round flier makes sense.",2024
Memphis Grizzlies,"C, PF","Memphis should be extremely interested in trading up for Donovan Clingan, a potential franchise center to pair with Jaren Jackson Jr., or grab a power forward with size and mobility.",2024
Miami Heat,"SF, SG","After drafting Jaime Jaquez Jr., Miami should again target a ready-to-play forward who can contribute immediately, such as Tristan da Silva or Devin Carter, to keep their Finals window open.",2024
Milwaukee Bucks,"PG, SF","With few draft assets, the Bucks shouldn’t overthink picks 23 and 33 — taking the best player available adds depth behind Damian Lillard and Khris Middleton, whether in the backcourt or on the wing.",2024
Minnesota Timberwolves,"PG, SG","Mike Conley Jr. turns 37 this fall, and with other veterans expiring, Minnesota needs playmaking depth — targeting a backup point guard who can learn and eventually take over.",2024
New Orleans Pelicans,"C, PF","If Jonas Valančiūnas departs, the Pels must replace their rim-protector and floor-spacing big — prospects like Kel’el Ware or Kyle Filipowski fit this hybrid center role.",2024
New York Knicks,"C, PF","Limited by cap and core depth, New York should either package their multiple picks to trade up for a veteran or, if they keep them, add a center as insurance for Isaiah Hartenstein with restricted Bird rights concerns.",2024
Oklahoma City Thunder,"SF, PF","OKC could reunite Cody Williams with brother Jalen, adding a versatile forward. If he’s gone, they should address size/rebounding with a prospect like Zach Edey or Kel’el Ware.",2024
Orlando Magic,"SG, PF","Orlando ranked dead-last in made threes and needs shooting. Targets like Rob Dillingham or Jared McCain address shooting, while a second-round pick could bring additional frontcourt size.",2024
